label,class,ASC,ASC_VAR,ASS,ASS_VAR,ASF1,ASF2,ASF3,ASF4,ASF5,ASF6,ASF7,ASF8,ASF9,ASF10,ASF11,ASF12,ASF13,ASF14,ASF15,ASF16,ASF17,ASF18,ASF19,ASF20,ASF21,ASF22,ASF23,ASF24,ASF_MEAN,AFF,AFF_VAR,LAT,TC,SC,SC_VAR,HSC,HSD,HSS,HSV
03-01-01-01-01-01-01,neutral,0.26257556247378105,4.105433211008897,1.8463184895173372,0.9406926123136464,0.5688143267229409,0.5695716553822892,0.5699274864083335,0.5700660125828951,0.5713499582550573,0.5746430027238563,0.5753962254550138,0.5756988718374074,0.5760781574982463,0.5765440076806826,0.581968117182662,0.5945938678160824,0.6103691487666463,0.6282010897861651,0.6520708611624245,0.6680614030059928,0.706274270350731,0.71283276388773,0.7171333620524862,0.7482475720243498,0.7568743646789288,0.7589681446983738,0.7829887291949649,0.8750280461428676,0.6467375602207136,893.2436047578308,452875.5894853321,-0.5740312677277187,1.5827557509108126,3208.029738103992,4403620.859367496,1610.531692320943,0.1747491778982517,0.7635268433598602,0.09083197213040448
03-01-01-01-01-02-01,neutral,0.11263675696496568,3.7239158785177975,1.951622567835884,0.9117388897081529,0.5626074304065628,0.5672958908622155,0.5698951269620355,0.5701652043059349,0.5707601840635764,0.5732747994514699,0.5736407831933036,0.5736570117844009,0.5740989674822548,0.5743479690420681,0.5755151995664712,0.5922913100913605,0.6019523813504057,0.6253040532147507,0.637145689228915,0.6678234499694775,0.7176615535763263,0.727223562780101,0.730757116313807,0.7714970999089061,0.7770242638321511,0.7783692570491771,0.7896383059090003,0.8565657238646751,0.6482713472587228,862.9070957078,454443.25185404683,-0.574031267727719,1.5954135008918646,3210.470418694025,3912727.3308705613,1713.61066082248,0.17797270483419395,0.786229552599833,0.09408143206124253
03-01-01-01-02-01-01,neutral,0.18209676042481657,3.7216775120701633,1.8980358148796856,0.9231665673663741,0.579171952642071,0.5837263597501329,0.5845799433543459,0.5848202389064544,0.5859994913640357,0.5875846552816634,0.5901309492853213,0.5919726077615065,0.5926920708114755,0.5929123882522638,0.5955049488677028,0.6090734983268624,0.6202972622931312,0.6336491157179462,0.659023146259346,0.676535644759437,0.7140504918490957,0.7212345218779439,0.7219675044457772,0.7705278428616081,0.7739453971802199,0.7758433265345759,0.7891394473075204,0.8477070886225362,0.6575870789297072,934.4488297269152,453923.3844800279,-0.8580279240929203,1.5266586345102047,3226.6233541309916,4209171.056167853,1620.1387465384778,0.17432086577183165,0.7482585225670786,0.08884165124505275
03-01-01-01-02-02-01,neutral,-0.09693494850809588,3.2720783596883503,2.0045736017651423,0.8058604364041708,0.5792846842168351,0.5840464205394289,0.5861807725961531,0.5863073847209747,0.587555422515077,0.59451796481654,0.5960497216051993,0.5961788925427673,0.5961207749437473,0.6031743401332702,0.6081327335021451,0.6229450971122257,0.6300481062613539,0.655442619854217,0.6762549728480357,0.7000232880157898,0.720774414405734,0.7242436072441711,0.7273980335207959,0.7496402512943267,0.7525028164575827,0.7535555576885745,0.7702262097150347,0.8237994624998143,0.6593501478770747,891.7010008648683,461251.4674966972,-0.8580279240929195,1.4750851663242779,3143.09718259989,3502834.575562842,1807.7599062097008,0.17447019179242787,0.8089577807441034,0.08613734945210491
03-01-03-01-01-01-01,happy,0.07625180612629108,3.0251012592795217,1.9189166788984993,0.948988628714075,0.5266425292731118,0.5279842250606982,0.5288672831021635,0.5291889799415744,0.5296413747946906,0.5311029145873073,0.5319080266381403,0.5320390873100903,0.5320206417806899,0.5320024899980256,0.5327249443581674,0.5387937005856922,0.54419560250885,0.5505159982381788,0.5561641332005062,0.5757410748173896,0.6273311155010847,0.6334276878744622,0.6356435639901111,0.6913789291586815,0.7017598681167092,0.7108131555412794,0.719316086264579,0.7877579384553242,0.5877900562957294,835.6032067336213,448643.5323749851,-0.03747282515618874,1.796275718935835,3072.9666840290374,3900262.838591678,1302.6112024863467,0.1776204099167771,0.7372939986183099,0.07664015575946655
03-01-03-01-01-02-01,happy,-0.3090141327085101,5.312406141999885,1.6427577032264469,0.7453042274006264,0.5167253144076103,0.5229816771663229,0.5236732190193929,0.5250299018652801,0.5283176798372324,0.5331676386269656,0.5348770448235393,0.5359800602748501,0.536689668274749,0.5368848755951582,0.5427838078186177,0.55183935485341,0.5615262901077857,0.5642283321086237,0.5678440836512426,0.5805540865702286,0.6382860077755927,0.6452690655705868,0.6501683744101835,0.7068973437758649,0.715197748953808,0.7196794054687836,0.7350201158932304,0.7730771411939937,0.5936124265851271,817.4029088155772,444320.9129894866,-0.26440110030182024,1.7332841969429678,2802.069114295156,4049771.775997767,1440.1645490153041,0.1804457693048639,0.7540717163821566,0.09308359337594863
03-01-03-01-02-01-01,happy,0.27650678111289784,3.535021287108952,1.615265161264857,0.7442302081024936,0.5100836028286627,0.5116441376217589,0.5122192989234456,0.5124117954675673,0.512963564006539,0.5172393992682518,0.5185061875027206,0.5185745523426327,0.5185071387110542,0.5190092214555136,0.5219172811321708,0.5450341799140721,0.5615747786242808,0.5722021227987856,0.592364351542616,0.6050651001898718,0.6307634966515717,0.6347164488253451,0.6405236707746048,0.6899357233433667,0.6949312622068695,0.6953189350949072,0.7095498017824531,0.7525044381691314,0.5832316870490915,840.5513184573803,449613.4657424645,-0.14589647369893008,1.716493172313081,2920.7941898415097,4038184.0817938987,1336.6553627376747,0.18342107321884715,0.7063083971665002,0.07061676437687961
03-01-03-01-02-02-01,happy,-0.024956272705728144,3.3041172277144324,1.8678242315853912,1.0947372635622832,0.5082417277586377,0.5102203593175819,0.510473483222806,0.5105688107903893,0.5107503606261657,0.5112920821077893,0.5114020937617378,0.5114389372376453,0.511523938757455,0.5124401843150779,0.5154086408854853,0.5203795591627676,0.5266692204689248,0.5370495347665869,0.5534309875764866,0.5628730394182458,0.5915201786606936,0.6058671502042307,0.606797435687595,0.6470117559077877,0.6523379840175579,0.6549538645314849,0.6619907622996088,0.706687375652955,0.5604720611306541,832.4667055037222,451317.84277359454,0.1419720759070804,1.840916282591639,3027.368941241743,3641462.076636009,1457.6767555596357,0.18239702376764472,0.7343136987842482,0.060471247916557926
03-01-03-02-01-01-01,happy,0.2545899101147419,2.828215641393638,1.592139912037441,0.607422714708989,0.5207288869031094,0.521985526899798,0.5234346723962229,0.5243496212352622,0.5246827181884078,0.5250740261746325,0.5250897473379222,0.5251032752988325,0.5250741126571344,0.5267812583354023,0.527449884015622,0.5278259296353714,0.5373196319659528,0.5429367348662957,0.5482212084764795,0.5602833679249176,0.571230209781409,0.575991568908232,0.5823446024886577,0.6219891780509542,0.6267404999080107,0.6310598365453469,0.6566230011659789,0.7401616182620224,0.5621867132259156,813.2089918763917,413457.4610723171,-0.16579130241586937,1.8601021020004098,2882.742455696414,3244008.565531754,1583.702347895592,0.17979676022195332,0.7405531013341031,0.09764267953962846
03-01-03-02-01-02-01,happy,-0.5571576909332482,3.5758221143128353,1.3878377551110215,0.5786261871331889,0.4408617167686716,0.4476960934040746,0.45125261797364175,0.4529548225750478,0.4556286815126797,0.4593353562654307,0.46000610321526375,0.46120979849195426,0.46178787471981797,0.46255049408003884,0.47229560970538537,0.5100715902693219,0.5229545207903489,0.5277439806307122,0.534194735279121,0.5564847414442311,0.5719553176700926,0.5747608716283163,0.5852592281102301,0.6347263883180685,0.6425812839437663,0.6468905945328438,0.6725909118796904,0.7304392213736371,0.5306763564409328,658.8724570061183,387856.6892697267,-0.1938200260161129,1.8196147849322029,2272.5219176704627,2700435.4053877615,1429.0041160574726,0.18849100744379613,0.734448334602043,0.08000236364923936
03-01-03-02-02-01-01,happy,-0.27268418871469535,2.359313842400123,1.6809567810005537,0.8674599889781993,0.37956893479105874,0.38545914617665045,0.3895268127346048,0.3906578073550955,0.39288597161574623,0.39513865049910873,0.3950845784906634,0.395353289506796,0.39633088005797884,0.3970512541989055,0.4006833470198429,0.41359729384237504,0.4341771058597895,0.43794244971291274,0.43959181564004807,0.44675650898140146,0.4826218295912089,0.4960149389827461,0.5109042136385168,0.5382591637389559,0.5489589467859085,0.5578975958256548,0.5734378230792185,0.6237305005796487,0.45090128577936817,643.2989293007947,383278.78773774416,-0.042552350685463695,1.9835855462943046,2495.873794521373,2642914.5293339146,1539.116570186529,0.1840784732112664,0.737212176755039,0.06768213158200184
03-01-03-02-02-02-01,happy,0.08980656755637788,3.2290475680452593,1.5812325415936315,0.7791776122647079,0.43017148254965804,0.433706729798058,0.437567394611309,0.43820714793099524,0.4412422826068501,0.4423868238433764,0.4428618658515146,0.443794816169394,0.444597559671086,0.4454090214758457,0.4464187488450125,0.4471924958379733,0.4509906878157332,0.45690869249709704,0.46184863448784946,0.46726286641411874,0.4891610670990604,0.5000257502956897,0.5154930808267358,0.5476122966031686,0.5614968366950648,0.5657761775662338,0.5838549041213982,0.6321032577386048,0.48025377588965945,714.5904735954372,413297.8789523787,0.10720996964786837,1.9039544537063549,2755.0190804439785,3461611.4656264517,1638.7243325945383,0.1869145116025987,0.7404832125121719,0.07953546803368675
03-01-04-01-01-01-01,sad,0.09552865470632885,3.758114197803352,1.4434973479397548,0.6075264997947032,0.508228331500351,0.5132474682333807,0.5183621744785903,0.5192135767305641,0.5246129778370395,0.5300042822542164,0.5339338836027703,0.5347169819498987,0.5359976263963866,0.5390056276092097,0.5419188410386643,0.5549266050284161,0.5602674719762968,0.5767094672996242,0.6070145427660179,0.631266918646566,0.6927965354886236,0.7351299605011604,0.7418275565423318,0.7657221459027552,0.7746303872743276,0.7757272287730003,0.793597600673378,0.8414190820305796,0.6187615531055896,805.06020121384,455612.7670737876,-0.9719712763997563,1.792940935413907,2640.8322409189236,4134269.923465907,1730.5967117765604,0.1798827899540224,0.8237750194779174,0.08783097722058836
