label,class,ASC,ASS,ASF,LAT,TC,SC,HSC,HSD,HSS,HSV
03-01-01-01-01-01-01,neutral,0.26257556247378105,1.8463184895173372,0.3075746220675961,-0.5740312677277187,1.5798025043292654,3208.029738103992,1610.531692320943,0.1747491778982517,0.7635268433598602,0.09083197213040448
03-01-01-01-01-02-01,neutral,0.11263675696496568,1.951622567835884,0.26393217387110934,-0.574031267727719,1.5935272666822482,3210.470418694025,1713.61066082248,0.17797270483419395,0.786229552599833,0.09408143206124253
03-01-01-01-02-01-01,neutral,0.18209676042481657,1.8980358148796856,0.2751426894544318,-0.8258432407215185,1.5275064878776736,3226.6233541309916,1620.1387465384778,0.17432086577183165,0.7482585225670786,0.08884165124505275
03-01-01-01-02-02-01,neutral,-0.09693494850809588,2.0045736017651423,0.23689793391223776,-0.8580279240929195,1.474267173380005,3143.09718259989,1807.7599062097008,0.17447019179242787,0.8089577807441034,0.08613734945210491
03-01-02-01-01-01-01,calm,0.14164597559656525,1.7537594043079694,0.2850490249269805,-0.8258432407215185,1.7336577577776169,3046.255192651776,1670.8788296793523,0.17538328370818884,0.7748384118189032,0.09732480643458506
03-01-02-01-02-01-01,calm,0.09007690619568276,1.7376994704252853,0.26816816543498473,-0.9719712763997563,1.654701395044441,2995.8628210979377,1483.0851334762733,0.18164859114722473,0.7692150582564908,0.0668860246953591
03-01-02-01-02-02-01,calm,-0.024314918558139074,1.9360143199366737,0.23624750443317954,-1.0688812894078121,1.6071770348679595,3084.761492088796,1403.164867856885,0.17687019351147676,0.7666408970020048,0.0551154670383811
03-01-02-02-01-01-01,calm,-0.04800906229821951,1.6485751248987037,0.3053165439544683,-0.8927900303521312,1.8133975368089439,2854.532008834266,1562.189206459639,0.1696541010626765,0.8439673454182856,0.05807519620045159
03-01-02-02-01-02-01,calm,0.16037732852788494,1.584043295263495,0.26435893815913025,-0.8258432407215182,1.9828624728850273,2801.911698998782,1630.0833966635278,0.17225479350071474,0.8358428445702408,0.06108702945567388
03-01-02-02-02-01-01,calm,0.07049136544236406,1.5700443374443576,0.2323937850670191,0.08493357493671605,2.0863472158620007,2811.8414392508903,2077.3805749372377,0.1803009553938151,0.7851429597982948,0.06047721114332956
03-01-02-02-02-02-01,calm,0.20438719640919722,1.5579269262320439,0.26443959315604537,-0.3591874196800208,1.8639250351725518,2813.4511872424523,1544.008548680384,0.18055697789541666,0.8098136120848023,0.04946990520935902
03-01-03-01-01-01-01,happy,0.07625180612629108,1.9189166788984993,0.2157142778223239,-0.03747282515618874,1.796750881772455,3072.9666840290374,1302.6112024863467,0.1776204099167771,0.7372939986183099,0.07664015575946655
03-01-03-01-01-02-01,happy,-0.3090141327085101,1.6427577032264469,0.233750120224659,-0.26440110030182024,1.7332996743353453,2802.069114295156,1440.1645490153041,0.1804457693048639,0.7540717163821566,0.09308359337594863
03-01-03-01-02-01-01,happy,0.27650678111289784,1.615265161264857,0.2597598194241259,-0.14589647369893008,1.715232841114683,2920.7941898415097,1336.6553627376747,0.18342107321884715,0.7063083971665002,0.07061676437687961
03-01-03-01-02-02-01,happy,-0.024956272705728144,1.8678242315853912,0.2030682554235952,0.1419720759070804,1.8413577150496554,3027.368941241743,1457.6767555596357,0.18239702376764472,0.7343136987842482,0.060471247916557926
03-01-03-02-01-01-01,happy,0.2545899101147419,1.592139912037441,0.2161371772791484,-0.15905791975690087,1.8584854896583949,2882.742455696414,1583.702347895592,0.17979676022195332,0.7405531013341031,0.09764267953962846
03-01-03-02-01-02-01,happy,-0.5571576909332482,1.3878377551110215,0.15359715399312174,-0.1938200260161129,1.8186444523476908,2272.5219176704627,1429.0041160574726,0.18849100744379613,0.734448334602043,0.08000236364923936
03-01-03-02-02-01-01,happy,-0.27268418871469535,1.6809567810005537,0.13379186452408723,-0.03747282515618874,1.9824597885068755,2495.873794521373,1539.116570186529,0.1840784732112664,0.737212176755039,0.06768213158200184
03-01-03-02-02-02-01,happy,0.08980656755637788,1.5812325415936315,0.20346498210698127,0.10720996964786837,1.9045620991186818,2755.0190804439785,1638.7243325945383,0.1869145116025987,0.7404832125121719,0.07953546803368675
03-01-04-01-01-01-01,sad,0.09552865470632885,1.4434973479397548,0.31912769727590456,-0.9305785912415315,1.7920961386830292,2640.8322409189236,1730.5967117765604,0.1798827899540224,0.8237750194779174,0.08783097722058836
03-01-04-01-01-02-01,sad,0.02947234160335916,1.6256870865490973,0.25930558207107923,-0.7678512937438314,1.722183753296352,2883.4983759309316,1682.777381516609,0.1743485764090331,0.7626792208357259,0.09315370097298892
03-01-04-01-02-01-01,sad,0.32883632565776844,1.2974735527104817,0.41667284548205336,-1.0688812894078132,1.6129420474634526,2550.1759345804594,1561.0210771419581,0.18262961700934952,0.7434045023271267,0.07297943461452004
03-01-04-01-02-02-01,sad,0.3569990891739037,1.549225573735366,0.3369829293982207,-0.23160858690551261,1.5690487068026508,2930.615534589264,1577.2479509829238,0.185765827250747,0.7369973068700221,0.08652189007133394
03-01-04-02-01-01-01,sad,-0.2595647042802399,1.5982820558790332,0.23684628828778026,-0.9305785912415308,1.9030312503817,2831.4456186706707,1505.907936864214,0.17995537997006547,0.7510953558268613,0.07980681383430548
03-01-04-02-01-02-01,sad,0.4329127321450725,1.4540533460026588,0.3370498473972332,-0.09115768411896512,1.94993609721492,2827.1936803641656,1550.3422011018058,0.18115390182727498,0.7469646798619606,0.06478951566942996
03-01-04-02-02-01-01,sad,0.30932363726709655,1.4770632685305476,0.30305233907027157,0.0654552215408672,1.9045139784238572,2827.800423812734,1333.3364267225074,0.18400458441267292,0.7285591086617953,0.07291611009761138
